customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,CustomerLifetimeValue,ServiceCount,IsFamilyCustomer,IsDigitalCustomer,ContractRiskScore,TenureBucket,cluster,segment
C1000023,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,77.65,4441.72,No,77.92,4426.05,2,1,0,3,49m+,4,Loyal Premium Customers
C1000024,Female,0,No,Yes,35,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,76.49,2664.82,No,76.14,2677.15,2,1,0,2,25-48m,3,Budget Customers
C1000025,Female,1,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.52,1262.4,No,27.44,1265.92,0,1,0,3,25-48m,0,Budget Customers
C1000026,Male,0,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.03,213.67,No,71.22,213.09,1,0,1,3,0-6m,1,High-Risk Customers
C1000027,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.17,1496.32,Yes,88.02,1481.89,4,0,1,3,7-24m,1,High-Risk Customers
C1000028,Female,1,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,83.1,4470.36,No,82.78,4487.4,4,1,0,2,49m+,3,Budget Customers
C1000029,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,874.0,No,18.21,864.0,1,1,0,3,25-48m,0,Budget Customers
C1000030,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.65,31.35,Yes,10.45,67.95,2,1,0,3,0-6m,0,Budget Customers
C1000031,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.92,4385.92,No,67.48,4349.8,2,1,0,3,49m+,4,Loyal Premium Customers
C1000032,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.91,539.69,No,18.61,606.39,1,1,0,3,25-48m,0,Budget Customers
C1000033,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,62.36,1339.23,No,60.87,1371.92,4,1,0,1,7-24m,2,Budget Customers
C1000034,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,613.96,No,18.6,594.0,1,0,0,3,25-48m,0,Budget Customers
C1000035,Male,1,No,No,28,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.28,2601.59,No,92.91,2583.84,3,0,1,3,25-48m,1,High-Risk Customers
C1000036,Female,0,No,Yes,36,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.94,1996.23,No,55.45,1977.84,1,1,1,3,25-48m,0,Budget Customers
C1000037,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,90.19,952.78,No,86.62,992.09,5,1,0,1,7-24m,2,Budget Customers
C1000038,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,58.24,492.22,No,49.22,582.4,3,0,1,1,7-24m,2,Budget Customers
C1000039,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.96,1694.09,No,23.53,1653.12,2,1,0,2,49m+,0,Budget Customers
C1000040,Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.57,1273.18,No,23.58,1272.78,1,1,1,2,49m+,0,Budget Customers
C1000041,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,82.85,2172.15,No,83.54,2154.1,3,1,0,1,25-48m,2,Budget Customers
C1000042,Female,1,No,Yes,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.62,4537.98,Yes,73.19,4564.44,5,1,1,3,49m+,4,Loyal Premium Customers
C1000043,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.99,1216.37,No,20.97,1217.42,2,0,1,3,49m+,0,Budget Customers
C1000044,Male,1,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.79,991.14,No,19.82,1039.5,2,1,1,3,49m+,0,Budget Customers
C1000045,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,80.36,4169.89,No,80.19,4178.72,3,1,0,3,49m+,4,Loyal Premium Customers
C1000046,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.04,4858.57,No,70.41,4832.76,1,1,1,3,49m+,4,Loyal Premium Customers
C1000047,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),85.36,5057.49,No,84.29,5121.6,6,0,0,3,49m+,4,Loyal Premium Customers
C1000048,Female,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.03,1379.94,Yes,76.66,1314.54,6,1,0,3,7-24m,1,High-Risk Customers
C1000049,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.04,915.01,No,17.26,956.12,1,0,1,3,49m+,0,Budget Customers
C1000050,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,66.79,716.02,No,65.09,734.69,3,1,0,1,7-24m,2,Budget Customers
C1000051,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,61.92,2218.67,No,61.63,2229.12,5,1,0,2,25-48m,2,Budget Customers
C1000052,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,50.23,265.36,No,66.34,200.92,2,0,1,1,0-6m,2,Budget Customers
C1000053,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),83.47,994.47,No,82.87,1001.64,3,1,1,2,7-24m,2,Budget Customers
C1000054,Male,0,No,Yes,52,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),93.2,4864.59,No,93.55,4846.4,3,1,1,3,49m+,4,Loyal Premium Customers
C1000055,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,451.12,No,16.71,486.0,2,0,0,2,25-48m,0,Budget Customers
C1000056,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.41,296.19,Yes,26.93,312.51,1,1,0,2,7-24m,0,Budget Customers
C1000057,Male,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.19,4345.81,No,61.21,4344.49,4,1,0,3,49m+,4,Loyal Premium Customers
C1000058,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.69,3526.77,No,51.86,3582.92,4,0,1,3,49m+,4,Loyal Premium Customers
C1000059,Female,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.03,1068.03,No,66.75,1104.48,1,0,0,3,7-24m,1,High-Risk Customers
C1000060,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.24,853.78,No,19.86,870.32,2,0,0,1,25-48m,0,Budget Customers
C1000061,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.3,398.85,No,18.99,384.3,2,1,0,2,7-24m,0,Budget Customers
C1000062,Male,1,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,59.64,3457.83,No,59.62,3459.12,4,1,0,2,49m+,3,Budget Customers
C1000063,Female,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),62.8,3160.56,No,63.21,3140.0,5,0,0,1,49m+,3,Budget Customers
C1000064,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,531.37,No,17.14,558.0,1,0,1,3,25-48m,0,Budget Customers
C1000065,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.68,5912.86,No,88.25,5874.56,3,1,0,3,49m+,4,Loyal Premium Customers
C1000066,Female,0,Yes,No,53,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),72.83,3880.27,No,73.21,3859.99,1,1,0,3,49m+,4,Loyal Premium Customers
C1000067,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.5,698.64,Yes,63.51,709.5,3,0,0,3,7-24m,1,High-Risk Customers
C1000068,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,57.71,1831.87,Yes,57.25,1846.72,2,0,0,3,25-48m,1,High-Risk Customers
C1000069,Male,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.55,2897.96,No,48.3,2913.0,1,0,0,3,49m+,4,Loyal Premium Customers
C1000070,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.88,3204.48,No,82.17,3232.32,5,1,1,3,25-48m,4,Loyal Premium Customers
C1000071,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.45,449.33,Yes,64.19,465.15,3,0,1,3,7-24m,1,High-Risk Customers
C1000072,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.32,4943.03,No,88.27,4945.92,4,0,0,3,49m+,4,Loyal Premium Customers
C1000073,Male,1,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,85.71,3006.4,No,85.9,2999.85,5,0,1,2,25-48m,3,Budget Customers
C1000074,Female,1,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),61.89,1077.54,Yes,63.38,1052.13,4,1,0,3,7-24m,1,High-Risk Customers
C1000075,Male,1,No,No,59,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),56.31,3328.18,No,56.41,3322.29,3,0,0,3,49m+,4,Loyal Premium Customers
C1000076,Male,1,No,No,64,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,65.02,4120.58,No,64.38,4161.28,3,0,0,3,49m+,4,Loyal Premium Customers
C1000077,Male,0,No,No,42,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.01,2515.89,No,59.9,2520.42,4,0,0,3,25-48m,4,Loyal Premium Customers
C1000078,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,956.71,No,18.4,936.0,2,1,0,2,49m+,0,Budget Customers
C1000079,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,65.26,1165.46,No,68.56,1109.42,3,1,1,3,7-24m,1,High-Risk Customers
C1000080,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.56,2620.44,No,48.53,2622.24,2,1,0,3,49m+,4,Loyal Premium Customers
C1000081,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.39,1278.13,No,19.37,1279.74,1,1,0,3,49m+,0,Budget Customers
C1000082,Male,1,No,Yes,17,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.05,1169.28,No,68.78,1173.85,1,1,1,3,7-24m,1,High-Risk Customers
C1000083,Female,0,Yes,Yes,68,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,51.07,3479.79,No,51.17,3472.76,1,1,0,2,49m+,3,Budget Customers
C1000084,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),55.4,308.7,No,51.45,332.4,3,1,1,3,0-6m,1,High-Risk Customers
C1000085,Female,0,No,No,32,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,68.76,2228.85,No,69.65,2200.32,5,0,1,2,25-48m,2,Budget Customers
C1000086,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,67.43,344.54,No,68.91,337.15,5,1,0,1,0-6m,2,Budget Customers
C1000087,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),68.59,2263.33,No,70.73,2194.88,2,0,1,1,25-48m,2,Budget Customers
C1000088,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,82.09,3856.31,No,82.05,3858.23,3,1,0,1,25-48m,3,Budget Customers
C1000089,Female,0,Yes,No,63,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,65.71,4164.0,No,66.1,4139.73,2,1,1,3,49m+,4,Loyal Premium Customers
C1000090,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.82,205.08,No,20.51,218.2,1,1,1,2,7-24m,0,Budget Customers
C1000091,Female,1,No,No,64,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.79,2939.38,Yes,45.93,2930.56,2,0,0,3,49m+,4,Loyal Premium Customers
C1000092,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),74.72,5397.35,No,74.96,5379.84,4,0,0,2,49m+,3,Budget Customers
C1000093,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.92,318.72,No,79.68,263.68,6,1,0,3,0-6m,1,High-Risk Customers
C1000094,Female,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,55.58,3879.12,No,55.42,3890.6,2,1,1,1,49m+,3,Budget Customers
C1000095,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.01,4872.07,No,73.82,4884.66,2,1,1,3,49m+,4,Loyal Premium Customers
C1000096,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),53.82,108.5,No,54.25,107.64,1,0,0,1,0-6m,2,Budget Customers
C1000097,Female,1,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),58.28,181.17,No,45.29,233.12,0,0,1,3,0-6m,0,Budget Customers
C1000098,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.55,4162.13,No,80.04,4136.6,4,0,0,3,49m+,4,Loyal Premium Customers
C1000099,Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,538.24,No,17.94,540.0,1,1,1,2,25-48m,0,Budget Customers
C1000100,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,79.74,1528.67,No,80.46,1515.06,4,0,0,2,7-24m,2,Budget Customers
C1000101,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,47.69,1368.77,No,47.2,1383.01,2,1,0,3,25-48m,1,High-Risk Customers
C1000102,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,64.92,1554.91,No,64.79,1558.08,4,1,0,3,7-24m,1,High-Risk Customers
C1000103,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,73.53,5239.43,No,73.79,5220.63,2,1,0,1,49m+,3,Budget Customers
C1000104,Female,1,Yes,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,55.15,951.59,Yes,55.98,937.55,4,1,0,3,7-24m,1,High-Risk Customers
C1000105,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,65.12,360.67,Yes,60.11,390.72,4,1,1,2,0-6m,2,Budget Customers
C1000106,Female,0,No,No,60,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.01,4646.35,No,77.44,4620.6,2,0,1,3,49m+,4,Loyal Premium Customers
C1000107,Female,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,1104.35,No,18.1,1098.0,0,1,0,3,49m+,0,Budget Customers
C1000108,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,1162.01,No,17.88,1170.0,1,0,1,2,49m+,0,Budget Customers
C1000109,Female,1,No,No,70,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.59,4578.6,No,65.41,4591.3,5,0,0,3,49m+,4,Loyal Premium Customers
C1000110,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.78,73.1,No,36.55,55.56,2,1,1,2,0-6m,0,Budget Customers
C1000111,Female,0,No,No,56,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.8,4492.78,No,80.23,4524.8,3,0,1,3,49m+,4,Loyal Premium Customers
C1000112,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.36,428.4,Yes,22.55,462.84,2,0,1,3,7-24m,0,Budget Customers
C1000113,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.34,2352.94,No,78.43,2320.2,4,1,1,3,25-48m,1,High-Risk Customers
C1000114,Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.62,2812.31,No,87.88,2803.84,4,1,1,3,25-48m,1,High-Risk Customers
C1000115,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,66.96,4768.73,No,67.17,4754.16,2,0,0,1,49m+,3,Budget Customers
C1000116,Male,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.75,3251.05,No,85.55,3258.5,5,1,0,3,25-48m,4,Loyal Premium Customers
C1000117,Male,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,76.7,1243.69,No,77.73,1227.2,1,0,0,2,7-24m,2,Budget Customers
C1000118,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),90.61,522.62,No,87.1,543.66,4,1,1,1,0-6m,2,Budget Customers
C1000119,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.51,3436.97,No,81.83,3423.42,4,0,1,3,25-48m,4,Loyal Premium Customers
C1000120,Male,0,No,No,60,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,66.24,3941.81,No,65.7,3974.4,4,0,0,2,49m+,3,Budget Customers
C1000121,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,67.1,3453.19,No,67.71,3422.1,2,0,0,1,49m+,3,Budget Customers
C1000122,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.64,3811.93,No,56.06,3783.52,4,0,1,3,49m+,4,Loyal Premium Customers
C1000123,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,80.39,231.9,No,77.3,241.17,6,1,0,1,0-6m,2,Budget Customers
C1000124,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,78.08,2250.24,No,77.59,2264.32,4,0,0,1,25-48m,2,Budget Customers
C1000125,Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.48,3206.62,No,72.88,3189.12,2,1,1,3,25-48m,4,Loyal Premium Customers
C1000126,Male,0,No,No,62,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),57.5,3535.66,No,57.03,3565.0,1,0,1,3,49m+,4,Loyal Premium Customers
