customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1000105,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,65.12,360.67,Yes
C1000106,Female,0,No,No,60,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.01,4646.35,No
C1000107,Female,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,1104.35,No
C1000108,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,1162.01,No
C1000109,Female,1,No,No,70,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.59,4578.6,No
C1000110,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.78,73.1,No
C1000111,Female,0,No,No,56,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.8,4492.78,No
C1000112,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.36,428.4,Yes
C1000113,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.34,2352.94,No
C1000114,Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.62,2812.31,No
C1000115,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,66.96,4768.73,No
C1000116,Male,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.75,3251.05,No
C1000117,Male,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,76.7,1243.69,No
C1000118,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),90.61,522.62,No
C1000119,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.51,3436.97,No
C1000120,Male,0,No,No,60,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,66.24,3941.81,No
C1000121,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,67.1,3453.19,No
C1000122,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.64,3811.93,No
C1000123,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,80.39,231.9,No
C1000124,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,78.08,2250.24,No
C1000125,Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.48,3206.62,No
C1000126,Male,0,No,No,62,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),57.5,3535.66,No
C1000127,Female,1,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),60.71,1316.49,No
C1000128,Female,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,87.45,4319.75,Yes
C1000129,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.49,329.31,Yes
C1000130,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,88.63,3818.82,No
C1000131,Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,85.78,4763.81,No
C1000132,Male,0,No,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,73.63,4359.62,No
C1000133,Female,0,No,No,32,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.5,1917.96,No
C1000134,Female,0,No,Yes,34,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),75.28,2567.63,No
C1000135,Male,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.73,5396.37,No
C1000136,Female,1,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.13,686.88,No
C1000137,Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),57.29,1498.16,No
C1000138,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,80.92,1616.05,No
C1000139,Male,1,Yes,No,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),72.08,3647.34,Yes
C1000140,Female,1,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),75.06,3778.76,No
C1000141,Male,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),86.11,3378.84,Yes
C1000142,Male,0,No,No,11,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,56.93,661.15,No
C1000143,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.95,166.91,No
C1000144,Female,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),80.01,1376.31,Yes
C1000145,Female,0,No,Yes,0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.03,0.0,No
C1000146,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.72,722.37,Yes
C1000147,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,517.73,No
C1000148,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,524.54,No
C1000149,Male,0,No,No,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),82.92,5696.28,No
C1000150,Female,0,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.06,426.76,Yes
C1000151,Male,0,No,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,63.43,3715.67,No
C1000152,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.12,423.42,No
C1000153,Male,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),92.58,4076.54,Yes
C1000154,Male,0,No,No,62,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,83.85,5193.5,No
C1000155,Female,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),66.05,4009.28,No
C1000156,Male,0,Yes,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.38,3277.08,No
C1000157,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),89.46,1335.49,No
C1000158,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.7,607.58,No
C1000159,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.67,694.87,No
C1000160,Female,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.86,1151.87,Yes
C1000161,Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.04,1847.67,No
C1000162,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),83.06,5020.79,No
C1000163,Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.57,5800.16,No
C1000164,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),83.76,657.69,No
C1000165,Female,1,No,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),70.57,4852.13,No
C1000166,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,98.08,4024.54,No
C1000167,Male,0,No,Yes,43,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.61,3012.28,No
C1000168,Male,0,No,No,22,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.3,1405.06,No
C1000169,Male,0,Yes,No,24,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),56.6,1349.59,Yes
C1000170,Male,0,Yes,Yes,39,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.28,2532.49,No
C1000171,Male,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,78.63,1091.74,No
C1000172,Female,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.91,2771.81,No
C1000173,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,76.92,3723.85,No
C1000174,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.31,0.0,Yes
C1000175,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.1,1323.75,Yes
C1000176,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),84.39,3120.52,No
C1000177,Male,0,Yes,Yes,54,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,65.01,3527.21,No
C1000178,Female,1,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),82.98,1778.92,Yes
C1000179,Female,0,No,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.21,4735.54,No
C1000180,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.94,862.09,No
